	dataset_name	publication_string	dataset_id	dataset_version_id	collection_url	alignment_software	cell_enrichment	gene_annotation_version	institute	library_id	library_preparation_batch	library_sequencing_run	manner_of_death	reference_genome	sampled_site_condition	sample_collection_method	sample_id	sample_preservation_method	sample_source	sequenced_fragment
70	PCW6.2 WSSS_THYst9699525	Zhang (2023) Nature	e65417a4-e2e0-46ee-b57b-0f76806e1f8e	805fa2c9-e068-42d5-a84a-b8731cc932f2	https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab	Not present	Not present	Not present	Not present	27.624198717948723%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present
71	PCW8.1 WSSS_THYst9383361	Zhang (2023) Nature	d06cb48a-3b0b-4218-b876-5abfe5affe0a	d35e43de-9865-45b0-abdc-89138d73d45f	https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab	Not present	Not present	Not present	Not present	37.84054487179487%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present
72	PCW5.6 WSSS_THYst9699526	Zhang (2023) Nature	70eb992d-8759-44cc-a07b-58d8607aedb4	8b0ddee8-3e3d-4d41-86a6-63001e607aba	https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab	Not present	Not present	Not present	Not present	25.62099358974359%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present
73	PCW7.0 WSSS_THYst9699524	Zhang (2023) Nature	69d2ee89-95b1-40af-bfba-5741a1e79c52	349b3537-c17c-4c6c-873e-441ccf0169aa	https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab	Not present	Not present	Not present	Not present	24.739583333333336%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present
74	PCW7.0 WSSS_THYst9699523	Zhang (2023) Nature	613e528c-0c6a-4b5d-a269-5bdbafa8794a	5a26422b-5766-44e6-a74f-163bbb502342	https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab	Not present	Not present	Not present	Not present	19.851762820512818%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present
75	PCW8.1 WSSS_THYst9383362	Zhang (2023) Nature	54801477-ac3e-47e3-8170-96c5b40d5c10	0f1e7119-0e24-49e3-9284-c711ace33334	https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab	Not present	Not present	Not present	Not present	57.772435897435905%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present
76	PCW8.1 WSSS_THYst9383360	Zhang (2023) Nature	2c439dce-5aaf-4470-9dae-50ecfbc86e37	9fc9ab5c-7f4b-4cb6-b36c-31745def3cf7	https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab	Not present	Not present	Not present	Not present	56.00961538461539%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present
77	PCW8.1 WSSS_THYst9383359	Zhang (2023) Nature	254ecc3e-57cd-4f1e-8bdf-1b682cc2d309	c7ae9413-f41f-42bc-9e2a-68d46ad80e1b	https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab	Not present	Not present	Not present	Not present	51.32211538461539%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present
78	human intestine organoid cell atlas	Xu (2023) bioRxiv	776a1e4a-f141-49bb-9978-d0588a4cee9f	62167d44-2c06-4841-9e67-de702f573af8	https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
79	human endoderm organoid cell atlas	Xu (2023) bioRxiv	6725ee8e-ef5b-4e68-8901-61bd14a1fe73	9155c872-db5e-4898-9467-7284dc7cfbc2	https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
80	human lung organoid cell atlas	Xu (2023) bioRxiv	569bce19-14c3-436f-bebf-543e5ea025dc	a3b5183f-e4ec-40bd-bccf-6fefb7faec67	https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
81	Human Male	Garcia-Alonso (2022) Nature	535e9336-2d8d-43c3-944d-bcbebe20df8a	cc0a3c90-988b-481c-94a2-453c1196ec81	https://cellxgene.cziscience.com/collections/661a402a-2a5a-4c71-9b05-b346c57bc451	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present
82	Human Somatic Cell Lineage	Garcia-Alonso (2022) Nature	4fb330ab-2d74-4649-b58f-7ffef457efdf	1e52a3ff-d114-4c01-9a1c-8a5cbc0e3691	https://cellxgene.cziscience.com/collections/661a402a-2a5a-4c71-9b05-b346c57bc451	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present
83	Human Germ Cells	Garcia-Alonso (2022) Nature	290d50c7-7158-4198-acf5-6d4b624fd3dc	448724a7-3213-4634-8d90-527b580582f8	https://cellxgene.cziscience.com/collections/661a402a-2a5a-4c71-9b05-b346c57bc451	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present
84	Human Female	Garcia-Alonso (2022) Nature	18e2a8c5-33f7-455e-a58a-b2ba6921db27	05efd373-7214-402a-b398-e92532a072af	https://cellxgene.cziscience.com/collections/661a402a-2a5a-4c71-9b05-b346c57bc451	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present
85	22 integrated samples		9d8e5dca-03a3-457d-b7fb-844c75735c83	38f86e54-4985-47ab-aa32-33c04fafba3c	https://cellxgene.cziscience.com/collections/6b701826-37bb-4356-9792-ff41fc4c3161	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
86	UMAP visualization of keratinocyte subclusters	Wiedemann (2023) Cell Reports	f1f123cc-ca2c-460f-b7f1-88240efb1e82	8373dc5a-f206-4480-9005-3d938adff44b	https://cellxgene.cziscience.com/collections/6d203948-a779-4b69-9b3f-1ee1dadc3980	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
87	UMAP visualization of all 12 datasets	Wiedemann (2023) Cell Reports	de94c504-4b58-4f42-b68d-74a8e4892f0e	4d3469a7-339f-40b3-92a3-22f7043545f8	https://cellxgene.cziscience.com/collections/6d203948-a779-4b69-9b3f-1ee1dadc3980	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
88	UMAP visualization of fibroblast subclusters	Wiedemann (2023) Cell Reports	da684768-fb01-455b-9f0f-b63a3e2f844f	44533810-9fed-41f4-a82f-13a9ad5b60c7	https://cellxgene.cziscience.com/collections/6d203948-a779-4b69-9b3f-1ee1dadc3980	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
89	Amacrine cells of human eye	Orozco (2020) Cell Reports	f8c77961-67a7-4161-b8c2-61c3f917b54f	feda2140-c845-413a-ab16-a5c83903878e	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
90	All cell types of human eye	Orozco (2020) Cell Reports	e6dad530-418b-47f9-af6e-472e56a7b314	7e07419c-2b0b-4f4c-a653-f1a0e2636313	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
91	Myeloid cells of human eye	Orozco (2020) Cell Reports	de17ac25-550a-4018-be75-bbb485a0636e	3e706d81-4387-4405-9401-795671be1d8f	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
92	Cone cells of human eye	Orozco (2020) Cell Reports	d95ab381-2b7c-4885-b168-0097ed4e397f	3ccc81ed-a468-4a4b-ab33-4cf80c9d7748	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
93	Retinal ganglion cells of human eye	Orozco (2020) Cell Reports	cec9f9a5-8832-437d-99af-fb8237cde54b	750b23f8-37fb-48fb-b9ae-e2145b77b3c9	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
94	Horizontal cells of human eye	Orozco (2020) Cell Reports	c3d381b2-3104-444e-8ad5-d3524407bbb6	b8ac4433-b426-4e90-b0ed-52e0d7ad4e2b	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
95	Non-neuronal cells of human eye	Orozco (2020) Cell Reports	ab5b2256-b209-48b5-a801-c5d9a8c0de56	e302e968-c0b2-4d56-aa1d-049e3ead1188	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
96	Retinal pigment epithelial cells of human eye	Orozco (2020) Cell Reports	9cfee1e6-b24f-433d-a269-f01841655d6a	43b4f17f-ed8f-4715-81f4-a6e4ded3c5b9	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
97	Bipolar cells of human eye	Orozco (2020) Cell Reports	4e38f019-f8e8-44ae-ad32-ba500de6f64c	0a30eba7-0fe6-49cc-90e1-e49caf66c326	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
98	Rod cells of human eye	Orozco (2020) Cell Reports	389bfbb9-8ef1-4582-8c41-410131c3d0eb	6344c0d9-9dfb-4f61-93f2-febd68121168	https://cellxgene.cziscience.com/collections/939769a8-d8d2-4d01-abfc-55699893fd49	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
99	Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - ATACseq	Muto (2021) Nat Commun	13a027de-ea3e-432b-9a5e-6bc7048498fc	0f79b79e-d494-4747-9091-459e2c21ec40	https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
100	Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq	Muto (2021) Nat Commun	9df60c57-fdf3-4e93-828e-fe9303f20438	e1b929d2-7f5c-47f5-a525-5485439a030b	https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
101	Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease	Wilson (2022) Nat Commun	e067e5ca-e53e-485f-aa8e-efd5435229c8	01bc7039-961f-4c24-b407-d535a2a7ba2c	https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
102	Human kidney cortex snATAC-seq data from donors with and without diabetic kidney disease	Wilson (2022) Nat Commun	ad0bf220-dd49-4b71-bb5c-576fee675d2b	242417b1-0e72-47b4-b145-f497cf7413ae	https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
103	A single-cell atlas of the healthy breast tissues reveals clinically relevant clusters of breast epithelial cells	Bhat-Nakshatri (2021) Cell Reports Medicine	de985818-285f-4f59-9dbd-d74968fddba3	80aa80bd-e935-4f4d-a9c9-ec072dbe30ed	https://cellxgene.cziscience.com/collections/c9706a92-0e5f-46c1-96d8-20e42467f287	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	100.0%	Not present
104	Single-cell multi-omics analysis of the immune response in COVID-19	Cambridge Institute of Therapeutic Immunology and Infectious Disease-National Institute of Health Research (CITIID-NIHR) COVID-19 BioResource Collaboration (2021) Nat Med	c7775e88-49bf-4ba2-a03b-93f00447c958	5ad66a4f-d619-4cb3-8015-a87c755647b3	https://cellxgene.cziscience.com/collections/ddfad306-714d-4cc0-9985-d9072820c530	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
105	Adult duodenum	Yu (2021) Cell	ee195b7d-184d-4dfa-9b1c-51a7e601ac11	17594f3f-1882-41eb-8d62-6ea6dfca394c	https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
106	Developing Human Atlas	Yu (2021) Cell	9968be68-ab65-4a38-9e1a-c9b6abece194	340b2428-1dc7-4ef0-982d-5829ae6fac23	https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
